연번,사업자명,사업자등록번호,업종명(대분류),소재지
1,석경에이티,1348163122,제조업,경기 안산시 단원구 별망로459번길 24 6블럭 14로트 (목내동)
2,케이시스,6138178017,정보통신업,경상남도 창원시 성산구  마디미동로 25 (상남동) 비전빌딩 8층
3,지음지식서비스,1098638374,"전문, 과학 및 기술 서비스업",경기도 성남시 수정구  창업로 42 (시흥동) 532호
4,엠플러스,1238187371,제조업,충북 청주시 흥덕구 옥산면 옥산산단로 27 (주)엠플러스
5,에스티씨엔지니어링,1958700065,제조업,경기도 평택시 서탄면 수월암길 113-18 (서탄면)
6,켐피아,1348642777,도매 및 소매업,경기 수원시 영통구 창룡대로 260 (이의동)1108호~1111호
7,풍림무약,1048102314,제조업,"서울 중구 소월로 10 (남대문로5가,단암빌딩)"
8,이엔타,6938601407,정보통신업,"경기도 수원시 영통구 신원로 55 7층 714호 (신동,테크트리영통 지식산업센터)"
9,아이엠파인,7908600937,정보통신업,"서울 마포구 잔다리로 31 , 1-4-5층 (서교동, 제우피스빌딩)"
10,신신엠앤씨,5048184781,도매 및 소매업,대구광역시 북구  침산남로9길 20 (침산동) 4층
11,위우너스,2158749187,정보통신업,서울특별시 송파구 중대로 135 1201호 (아이티벤처타워 동관 1201호)
12,오션정보기술,3058195207,정보통신업,대전광역시 서구  만년로68번길 15-23 (만년동)
13,엠앤와이즈,1298176983,정보통신업,서울특별시 구로구  디지털로 243 (구로동) 601~605호
14,이레아이디에스,2648126603,정보통신업,서울특별시 송파구 문정2동 (문정동) 642-3 문정역SKV1 C동 6층 616호
15,JVM,5038131016,제조업,대구 달서구 호산동로 121 (호산동)
16,소프트제국,6208800836,정보통신업,"경기도 고양시 덕양구 서정로 9 3,5층 (행신동, 소프트제국빌딩)"
17,솔박스,2148721395,정보통신업,서울특별시 강남구 테헤란로 124 10층 (삼원타워 )
18,큐알티,1268675409,제조업,경기도 이천시 부발읍 경충대로2091 
19,내담씨앤씨,1298624627,정보통신업,경기도 성남시 분당구  판교역로 231 (삼평동) s동 711호
20,마이건축사사무소,2148620569,"전문, 과학 및 기술 서비스업",서울 성동구 성수일로4길 25 서울특별시숲코오롱디지털타워 210호 (성수동2가)
21,동구바이오제약,1138103336,제조업,"서울 송파구 법원로 114 B동 4층 (문정동, 엠스테이트)"
22,아산에스앤테크,6068624309,제조업,부산 강서구 화전산단2로134번길 41 (화전동)
23,디알젬,2208671516,제조업,"경기 광명시 하안로 60 E동 709호 (소하동, 광명테크노파크)"
24,퓨처젠,1088162366,정보통신업,"서울특별시 구로구  디지털로31길 38-21 (구로동, 이앤씨벤처드림타워3차1101호) 11층"
25,프로텐,3308800608,정보통신업,"서울특별시 금천구  가산디지털1로 145 (가산동, 에이스하이엔드타워3차) 1104호"
26,더유제약,1138669177,"전문, 과학 및 기술 서비스업",서울특별시 강남구 삼성로81길 6 
27,아이퀘스트,1018142433,정보통신업,서울 구로구 디지털로34길 55 코오롱싸이언스밸리 407호 (구로동)
28,다보코퍼레이션,1138143191,도매 및 소매업,"서울 금천구 가산디지털2로 115 대륭테크노타운3차 909 (가산동,대륭테크노타운Ⅲ)"
29,일렉콤,1338128627,제조업,경기 이천시 마장면 덕이로202번길 99 
30,슈어소프트테크,2118710133,정보통신업,경기도 성남시 수정구  금토로80번길 37 (금토동) 이동
31,엑스코어시스템,5978600662,정보통신업,"세종 집현중앙7로 6 (집현동) 세종대명밸리온 B503~508,B512,B513,B516~B518"
32,골든블루,6218154923,제조업,부산 기장군 정관읍 농공길 89-2 ((주)천년약속)
33,에이엔에이치스트럭쳐,6138173462,"전문, 과학 및 기술 서비스업","경상남도 진주시  범골로54번길 2 (충무공동, ANH structure)"
34,에스아이아이에스,3188100249,도매 및 소매업,"대전광역시 유성구  과학로 169-84 (신성동, 한국항공우주연구원) 132호"
35,디에스케이,1388113022,제조업,경기도 안산시 상록구  수인로 710 (사사동)
36,케이아이엔엑스,1018159273,정보통신업,"서울 강남구 강남대로 636 (신사동) 두원빌딩 7,10층"
37,에이티에스,1218640832,제조업,경북 구미시 산동읍 첨단기업로 79 
38,에니트,3648700884,제조업,광주 북구 첨단과기로 333 (대촌동) 시험생산동 303호
39,아마다웰드테크코리아,2298105487,제조업,경기 화성시 동탄하나1길 28(능동)
40,알에스엔,1288194256,정보통신업,경기도 고양시 일산서구 킨텍스로 240 24층 (GIFC타워)
41,카이트로닉스,2208879899,제조업,서울특별시 금천구 디지털로9길 46 12층 1202호 (이앤씨드림타워7차)
42,영림원소프트랩,2208123474,정보통신업,"서울 강서구 양천로 583 A동 23층 (염창동, 우림블루나인비즈니스센터)"
43,덱스레보,1198678150,"전문, 과학 및 기술 서비스업",서울특별시 강남구  선릉로 632 (삼성동)
44,아이쓰리시스템,3148123158,제조업,대전 유성구 테크노5로 69 (관평동)
45,대원지에스아이,5048104185,제조업,경상북도 칠곡군 왜관읍 아곡6길 42 (왜관읍)
46,대운교통,6088102363,운수 및 창고업,경상남도 창원시 성산구 불모산로48번길 5 
47,대곤코퍼레이션,1168144170,제조업,"서울 구로구 디지털로 285 (구로동, 에이스트윈타워1차 12층 1201호)"
48,영도산업,6038116464,제조업,부산 강서구 녹산산업중로 22 (송정동)
49,스토리숲,1138677473,정보통신업,"경기도 안양시 동안구  학의로 250 (관양동, 관양 두산 벤처다임) 401,402호"
50,조은아이앤에스,1078685473,정보통신업,서울 영등포구 선유로 70 우리벤처타운II 303 (문래동3가)
51,서진씨엔에스,3018141581,정보통신업,"충청북도 청주시 상당구 1순환로 1202-3 403호 (방서동,서진빌딩)"
52,엠투엠글로벌,1208635490,정보통신업,"서울 영등포구 영등포로 150 B동 1509호 (당산동1가, 생각공장 당산)"
53,코젠바이오텍,1018156320,"전문, 과학 및 기술 서비스업",서울특별시 금천구  가산디지털1로 168 1101호 (가산동)우림 라이온스밸리
54,한일네트워크엔지니어링,1208167264,"전문, 과학 및 기술 서비스업",경기도 성남시 중원구 둔촌대로457번길 27 1307호
55,엔에이치알,1618601410,"전문, 과학 및 기술 서비스업",서울특별시 강서구 화곡동(화곡본동) 105번지 68호
56,사이냅소프트,2148664984,정보통신업,"서울 강서구 마곡중앙4로 62 (마곡동, 사이냅소프트 R&D센터)"
57,한서켐,1338124408,제조업,경기 평택시 포승읍 포승공단로 41 ((주)한서캠)
58,그로브소프트,2208839164,정보통신업,서울특별시 용산구 서빙고로 17 23층 2302호 (센트럴파크타워)
