번호,기업명
0,일렉콤
1,디에스케이
2,에이씨케이
3,케이티지
4,화영
5,백조씽크
6,대신네트웍스
7,현대하이텍
8,덕인
9,제일
10,로텍
11,원앤씨
12,이즈소프트
13,기득산업
14,코리아테크
15,포스텍
16,성광테크
17,엔에스티
18,이레테크
19,에이텍
20,주식회사이노스
21,성호전자
22,엔티에스
23,보원산업
24,삼진정밀
25,세진엔지니어링
26,위드시스템
27,주식회사천우
28,하나테크
29,동진산업
30,신우산업
31,네오비젼
32,태성공업
33,삼성파워텍
34,동진파일
35,주식회사비트리
36,진광
37,주식회사네오테크
38,승산팩
39,필텍
40,주식회사제이엠
41,주식회사포스웨이브
42,케이앤피
43,삼아인터내셔날
44,주식회사미소테크
45,주식회사지엘에스
46,주식회사블루텍
47,동신렌탈
48,에이피텍
49,제일산업
50,주식회사두레
51,나우
52,피닉스
53,동양정공
54,유일
55,대동금속
56,화인
57,신흥기공
58,위테크
59,이엠테크
60,동진기업
61,대명
62,주식회사엠텍
63,동부
64,폴리텍
65,코텍
66,디엠에스
67,주식회사태양
68,대륙제관
69,범우
70,케이씨
71,티에스이
72,진영
73,한성정공
74,삼원산업
75,신한산업
76,케이넷
77,이즈파크
78,포에스텍
79,창조종합건축사사무소
80,알엔알
81,주식회사제이디
82,한일
83,대일공업
84,조일
85,동방
86,반도
87,대성엔지니어링
88,베스텍
89,우성정공
90,우리기술
91,유원
92,영진하이텍
93,한성금속
94,우성금속
95,영화테크
96,한진산업
97,유피아이
98,신한정밀
99,코모텍
100,세원
101,천일
102,디에스엘
103,이씨스
104,에스피텍
105,삼일테크
106,삼양컴텍
107,세진테크
108,제일산기
109,윈텍
110,금강
111,삼원중공업
112,피에스아이
113,우창
114,세영
115,대현
116,에스엘테크놀로지
117,에스엠지
118,케이엠텍
119,링크텍
120,대산금속
121,미래화학
122,성우
123,제이티
124,에스에이치테크
125,한성테크
126,엠아이텍
127,대성종합열처리
128,제일엠텍
129,스페이스솔루션
130,부경산업
131,아이티씨
132,동남
133,신화테크
134,성보산업
135,태성정밀
136,신흥기업
137,다산
138,에스피엘
139,서진정공
140,주식회사지구
141,한성
142,상진
143,성창
144,씨엔에스
145,조양
146,삼미
147,동하정밀
148,대성테크
149,에스아이씨
150,세화정공
151,태진
152,세양
153,현대기전
154,네오텍
155,피티케이
156,대경엔지니어링
157,신화
158,영일산업
159,주식회사그린텍
160,화인케미칼
161,현대테크
162,다성
163,한스코리아
164,그린테크
165,서울금속
166,휴먼플러스
167,우성기업
168,대동산업
169,에스테크
170,현대화이바
171,동진금속
172,메인텍
173,엠티에스
174,인우테크
175,엔이에스
176,명성
177,디에이치테크
178,신원산업
179,하나산업
180,삼성정공
181,동신산업
182,대영공업
183,에이디티
184,이노테크
185,웰팜
186,세성
187,보성열처리
188,케이아이씨
189,주식회사엠제이
190,그린
191,성창사
192,제이씨
193,대현하이텍
194,테라텍
195,영우산업
196,소프트넷
197,에이치엠티
198,세림
199,한일산업
200,에이엠티
201,영진
202,일신테크
203,동아풍력
204,네오플러스
205,엠케이테크
206,유성
207,원하이테크
208,벽진산업
209,삼보산업
210,우림기술
211,대화금속
212,디앤이
213,코레코
214,신평산업
215,에스엠테크
216,두원산업
217,메탈링크
218,한조
219,대영시스템
220,이레산업
221,케이디
222,에스티엠
223,제이앤에스
224,신명
225,코넥
226,자인
227,진성산업
228,동원
229,주식회사엠티씨
230,대신네트웍스주식회사
231,케이제이에프
232,디와이씨
233,용진
234,대일산업
235,주식회사와이디테크
236,새론테크
237,동신
238,와이엠테크
239,주식회사성진하이텍
240,주식회사디케이티
241,삼인
242,영진철강
243,청운
244,지에스아이
245,양지
246,에스씨엘
247,우리식품
248,주식회사성진테크
249,동신금속
250,디엠티
251,엠아이티
252,에스피케이
253,노바텍
254,토담
255,이엠티
256,에스에이텍
257,에코파워텍
258,주식회사신진테크
259,주식회사남일
260,동명산업
261,에이치에스씨
262,부린
263,에스아이
264,주식회사케이알
265,주식회사진성이엔지
266,대한철강
267,한길산업
268,한국이엔씨
269,대한환경
270,주식회사태랑
271,한울
272,대양
273,조이테크
274,티에스엠
275,동양
276,케이엠피
277,에스엔텍
278,태건
279,금호산업주식회사
280,주식회사에이스라이프
281,두원
282,일성테크
283,제이에스
284,한성이엔지
285,진영산업
286,주식회사에이테크
287,주식회사주원
288,금성이엔씨
289,삼진식품
290,서비스월드
291,동아
292,주식회사대영이엔씨
293,주식회사케이앤에스
294,건우기업
295,우성산업
296,주식회사대원테크
297,현성기업
298,디에스아이
299,대주
300,수성
