연번,회사명,대표자명,업종,지역,확인서기간만료일
1,디아이,강경준,기계금속,충남,2024-06-30
2, 뜨레찬,윤경미,식품,광주,2024-06-30
3, 바이오쓰리에스,김두운,바이오,광주,2024-06-30
4, 오투마,홍동일,전기전자,광주,2024-06-30
5,부트윈,김대원,기계금속,서울,2024-07-01
6,에코파워텍,송기택,전기전자,제주,2024-07-01
7,이다커뮤니케이션즈,박성훈,서비스,서울,2024-07-01
8,이오니아이엔티,김건수,환경,경기,2024-07-02
9,유진이엔씨 ,강성철,서비스,대전,2024-07-02
10,동일석재,강미란,건설,전북,2024-07-02
11,단솔플러스,임창순,서비스,서울,2024-07-03
12,에스엠디씨,김순동 외 1명,전기전자,경기,2024-07-03
13,비엘코스메틱,이종필,화학,경기,2024-07-04
14,대싱박스,김경은,서비스,서울,2024-07-04
15,져스틴하우스,이재호,건설,강원,2024-07-04
16,지오지에스,이봉균,전기전자,경남,2024-07-04
17,케이탑아이앤씨,김진태,기계금속,경기,2024-07-04
18,다이나모테크,강천식,전기전자,인천,2024-07-04
19,코디마,김성태,기타,울산,2024-07-04
20,보림,이형섭,기타,강원,2024-07-05
21,한국아이도스,어경원,기계금속,경기,2024-07-05
22,엠에스이엔씨,김성환,건설,서울,2024-07-05
23,다이렉트테크,김영식,정보통신,인천,2024-07-05
24, 플랜디,조완제,서비스,경남,2024-07-05
25,우리소프트,김병일,S/W,대구,2024-07-06
26,세림기계,한기선,기계금속,경북,2024-07-06
27,맥스테드,이승엽,S/W,서울,2024-07-06
28,신우유비코스,이영달,건설,서울,2024-07-06
29,대영알앤티,이중호,기타,대구,2024-07-06
30,세인테크,최호길,S/W,강원,2024-07-07
31,레드테이블,도해용,S/W,서울,2024-07-07
32,씨엔엠테크 ,박대령,기계금속,충남,2024-07-07
33,유쎌,차재영,바이오,전북,2024-07-07
34,시지바이오,유현승,화학,서울,2024-07-07
35,보승식품,정의채,식품,경기,2024-07-08
36,아이앤아이소프트,김태현,정보통신,경기,2024-07-08
37,두손소프트,손영대,S/W,서울,2024-07-08
38,바이오노트,조병기,바이오,경기,2024-07-08
39,한국디지탈콘트롤,신숙향,전기전자,경기,2024-07-08
40,전시나라,임상현,기타,경기,2024-07-09
41, 한국토프톤,임대중,전기전자,경기,2024-07-09
42,컴패스,김승철,전기전자,경기,2024-07-09
43,하렉스인포텍,박경양,기타,서울,2024-07-09
44,뉴21커뮤니티,박선민,정보통신,전남,2024-07-09
45,서울수정,배철홍,전기전자,서울,2024-07-09
46,농업회사법인 한양제너럴푸드,최창환,식품,경기,2024-07-10
47,삼화피엠아이,박재훈,기계금속,경남,2024-07-10
48,나다텔,김승범,정보통신,서울,2024-07-10
49,휴먼라이텍,"박홍배,임영상",전기전자,전남,2024-07-11
50,씨엘전자,박훈종,전기전자,경기,2024-07-11
51,코박스 ,조봉제,기타,부산,2024-07-11
52,지니너스,박웅양,바이오,서울,2024-07-12
53,오너클랜,김기명,S/W,서울,2024-07-12
54,대흥가로등,김지운,전기전자,광주,2024-07-12
55,미키코리아,이혁진,기타,대구,2024-07-12
56,프로젝트문,김지훈,S/W,경기,2024-07-13
57,대한특허개발 ,김경한,전기전자,대전,2024-07-13
58,디노플러스,강경숙,S/W,서울,2024-07-13
59,지에프텍,장병철,전기전자,광주,2024-07-13
